Entity,Code,Lower chamber female legislators (aggregate: average),World regions according to OWID
Afghanistan,AFG,,Asia
Africa,,24.8875,
Aland Islands,ALA,,Europe
Albania,ALB,35.71,Europe
Algeria,DZA,7.86,Africa
American Samoa,ASM,,Oceania
Andorra,AND,,Europe
Angola,AGO,33.64,Africa
Anguilla,AIA,,North America
Antigua and Barbuda,ATG,,North America
Argentina,ARG,43.19,South America
Armenia,ARM,35.51,Asia
Aruba,ABW,,North America
Asia,,19.701778,
Australia,AUS,38.41,Oceania
Austria,AUT,40.98,Europe
Austria-Hungary,OWID_AUH,,Europe
Azerbaijan,AZE,18.64,Asia
Bahamas,BHS,,North America
Bahrain,BHR,20,Asia
Bangladesh,BGD,20.86,Asia
Barbados,BRB,26.67,North America
Belarus,BLR,40,Europe
Belgium,BEL,42.67,Europe
Belize,BLZ,,North America
Benin,BEN,26.61,Africa
Bermuda,BMU,,North America
Bhutan,BTN,17.39,Asia
Bolivia,BOL,46.15,South America
Bonaire Sint Eustatius and Saba,BES,,North America
Bosnia and Herzegovina,BIH,19.05,Europe
Botswana,BWA,11.1,Africa
Brazil,BRA,17.54,South America
British Indian Ocean Territory,IOT,,Asia
British Virgin Islands,VGB,,North America
Brunei,BRN,,Asia
Bulgaria,BGR,24.17,Europe
Burkina Faso,BFA,16.9,Africa
Burundi,BDI,38.21,Africa
Cambodia,KHM,13.6,Asia
Cameroon,CMR,33.89,Africa
Canada,CAN,30.65,North America
Cape Verde,CPV,41.67,Africa
Cayman Islands,CYM,,North America
Central African Republic,CAF,12.86,Africa
Chad,TCD,25.89,Africa
Chile,CHL,35.48,South America
China,CHN,26.54,Asia
Christmas Island,CXR,,Asia
Cocos Islands,CCK,,Asia
Colombia,COL,28.88,South America
Comoros,COM,16.67,Africa
Congo,COG,14.57,Africa
Cook Islands,COK,,Oceania
Costa Rica,CRI,47.37,North America
Cote d'Ivoire,CIV,13.73,Africa
Croatia,HRV,31.79,Europe
Cuba,CUB,55.74,North America
Curacao,CUW,,North America
Cyprus,CYP,14.29,Europe
Czechia,CZE,26,Europe
Czechoslovakia,OWID_CZS,,Europe
Democratic Republic of Congo,COD,12.8,Africa
Democratic Republic of Vietnam,,,Asia
Denmark,DNK,43.58,Europe
Djibouti,DJI,26.15,Africa
Dominica,DMA,,North America
Dominican Republic,DOM,27.89,North America
Duchy of Modena and Reggio,,,Europe
Duchy of Parma and Piacenza,,,Europe
East Germany,OWID_GDR,,Europe
East Timor,TLS,36.92,Asia
Ecuador,ECU,43.07,South America
Egypt,EGY,27.7,Africa
El Salvador,SLV,27.38,North America
Equatorial Guinea,GNQ,31,Africa
Eritrea,ERI,,Africa
Estonia,EST,28.81,Europe
Eswatini,SWZ,17.14,Africa
Ethiopia,ETH,41.31,Africa
Ethiopia (former),OWID_ERE,,Africa
Europe,,32.483414,
Falkland Islands,FLK,,South America
Faroe Islands,FRO,,Europe
Federal Republic of Central America,,,North America
Fiji,FJI,10.91,Oceania
Finland,FIN,46,Europe
France,FRA,37.78,Europe
French Guiana,GUF,,South America
French Polynesia,PYF,,Oceania
Gabon,GAB,24.49,Africa
Gambia,GMB,8.62,Africa
Georgia,GEO,18.44,Asia
Germany,DEU,35.19,Europe
Ghana,GHA,14.55,Africa
Gibraltar,GIB,,Europe
Grand Duchy of Baden,,,Europe
Grand Duchy of Tuscany,,,Europe
Great Colombia,,,South America
Greece,GRC,23,Europe
Greenland,GRL,,North America
Grenada,GRD,,North America
Guadeloupe,GLP,,North America
Guam,GUM,,Oceania
Guatemala,GTM,20,North America
Guernsey,GGY,,Europe
Guinea,GIN,29.63,Africa
Guinea-Bissau,GNB,,Africa
Guyana,GUY,36.62,South America
Haiti,HTI,,North America
Honduras,HND,27.34,North America
Hong Kong,HKG,19,Asia
Hungary,HUN,14.57,Europe
Iceland,ISL,47.62,Europe
India,IND,15.24,Asia
Indonesia,IDN,21.57,Asia
Iran,IRN,5.59,Asia
Iraq,IRQ,29.05,Asia
Ireland,IRL,23.13,Europe
Isle of Man,IMN,,Europe
Israel,ISR,24.17,Asia
Italy,ITA,32.25,Europe
Jamaica,JAM,28.57,North America
Japan,JPN,10.34,Asia
Jersey,JEY,,Europe
Jordan,JOR,12.31,Asia
Kazakhstan,KAZ,18.37,Asia
Kenya,KEN,23.28,Africa
Kingdom of Bavaria,,,Europe
Kingdom of Sardinia,,,Europe
Kingdom of Saxony,,,Europe
Kingdom of Wurttemberg,,,Europe
Kingdom of the Two Sicilies,,,Europe
Kiribati,KIR,,Oceania
Korea (former),OWID_KRU,,Asia
Kosovo,OWID_KOS,33.33,Europe
Kuwait,KWT,3.08,Asia
Kyrgyzstan,KGZ,20,Asia
Laos,LAO,21.95,Asia
Latvia,LVA,32,Europe
Lebanon,LBN,6.25,Asia
Lesotho,LSO,26.45,Africa
Liberia,LBR,10.96,Africa
Libya,LBY,16.47,Africa
Liechtenstein,LIE,,Europe
Lithuania,LTU,28.37,Europe
Luxembourg,LUX,35,Europe
Macao,MAC,,Asia
Madagascar,MDG,18.54,Africa
Malawi,MWI,20.73,Africa
Malaysia,MYS,13.51,Asia
Maldives,MDV,4.6,Asia
Mali,MLI,28.57,Africa
Malta,MLT,27.85,Europe
Marshall Islands,MHL,,Oceania
Martinique,MTQ,,North America
Mauritania,MRT,23.3,Africa
Mauritius,MUS,20,Africa
Mayotte,MYT,,Africa
Mexico,MEX,50,North America
Micronesia (country),FSM,,Oceania
Moldova,MDA,38.61,Europe
Monaco,MCO,,Europe
Mongolia,MNG,17.11,Asia
Montenegro,MNE,20.99,Europe
Montserrat,MSR,,North America
Morocco,MAR,24.3,Africa
Mozambique,MOZ,43.2,Africa
Myanmar,MMR,,Asia
Namibia,NAM,44.23,Africa
Nauru,NRU,,Oceania
Nepal,NPL,33.09,Asia
Netherlands,NLD,40.67,Europe
Netherlands Antilles,ANT,,North America
New Caledonia,NCL,,Oceania
New Zealand,NZL,45.53,Oceania
Nicaragua,NIC,51.65,North America
Niger,NER,,Africa
Nigeria,NGA,3.91,Africa
Niue,NIU,,Oceania
Norfolk Island,NFK,,Oceania
North America,,33.819286,
North Korea,PRK,17.61,Asia
North Macedonia,MKD,42.5,Europe
Northern Mariana Islands,MNP,,Oceania
Norway,NOR,46.15,Europe
Oceania,,17.911667,
Oman,OMN,2.33,Asia
Orange Free State,,,Africa
Pakistan,PAK,20.47,Asia
Pakistan (former),,,Asia
Palau,PLW,,Oceania
Palestine,PSE,,Asia
Palestine/West Bank,,,
Panama,PAN,22.54,North America
Papua New Guinea,PNG,2.7,Oceania
Paraguay,PRY,22.5,South America
Peru,PER,38.76,South America
Philippines,PHL,27.33,Asia
Pitcairn,PCN,,Oceania
Poland,POL,29.35,Europe
Portugal,PRT,36.09,Europe
Puerto Rico,PRI,,North America
Qatar,QAT,4.44,Asia
Republic of Vietnam,OWID_RVN,,Asia
Reunion,REU,,Africa
Romania,ROU,19.09,Europe
Russia,RUS,16.44,Europe
Rwanda,RWA,61.25,Africa
Saint Barthelemy,BLM,,North America
Saint Helena,SHN,,Africa
Saint Kitts and Nevis,KNA,,North America
Saint Lucia,LCA,,North America
Saint Martin (French part),MAF,,North America
Saint Pierre and Miquelon,SPM,,North America
Saint Vincent and the Grenadines,VCT,,North America
Samoa,WSM,,Oceania
San Marino,SMR,,Europe
Sao Tome and Principe,STP,14.55,Africa
Saudi Arabia,SAU,19.87,Asia
Senegal,SEN,46.06,Africa
Serbia,SRB,34.8,Europe
Serbia and Montenegro,OWID_SRM,,Europe
Seychelles,SYC,22.86,Africa
Sierra Leone,SLE,28.19,Africa
Singapore,SGP,29.13,Asia
Sint Maarten (Dutch part),SXM,,North America
Slovakia,SVK,22,Europe
Slovenia,SVN,37.78,Europe
Solomon Islands,SLB,8,Oceania
Somalia,SOM,19.71,Africa
Somaliland,OWID_SML,1.23,
South Africa,ZAF,45.98,Africa
South America,,33.50333,
South Georgia and the South Sandwich Islands,SGS,,South America
South Korea,KOR,19.06,Asia
South Sudan,SSD,32.36,Africa
Spain,ESP,44.29,Europe
Sri Lanka,LKA,5.33,Asia
Sudan,SDN,,Africa
Suriname,SUR,29.41,South America
Sweden,SWE,46.42,Europe
Switzerland,CHE,38.5,Europe
Syria,SYR,10.8,Asia
Taiwan,TWN,42,Asia
Tajikistan,TJK,26.98,Asia
Tanzania,TZA,37.4,Africa
Thailand,THA,18.84,Asia
Togo,TGO,19.78,Africa
Tokelau,TKL,,Oceania
Tonga,TON,,Oceania
Trinidad and Tobago,TTO,28.57,North America
Tunisia,TUN,16.23,Africa
Turkey,TUR,19.83,Asia
Turkmenistan,TKM,25.6,Asia
Turks and Caicos Islands,TCA,,North America
Tuvalu,TUV,,Oceania
USSR,OWID_USS,,Europe
Uganda,UGA,33.81,Africa
Ukraine,UKR,20.43,Europe
United Arab Emirates,ARE,50,Asia
United Kingdom,GBR,34.57,Europe
United States,USA,29.1,North America
United States Virgin Islands,VIR,,North America
Uruguay,URY,26.26,South America
Uzbekistan,UZB,33.57,Asia
Vanuatu,VUT,1.92,Oceania
Vatican,VAT,,Europe
Venezuela,VEN,34.18,South America
Vietnam,VNM,30.26,Asia
Wallis and Futuna,WLF,,Oceania
West Germany,OWID_GFR,,Europe
Western Sahara,ESH,,Africa
World,OWID_WRL,26.444292,
Yemen,YEM,0,Asia
Yemen Arab Republic,OWID_YAR,,Asia
Yemen People's Republic,OWID_YPR,,Asia
Yugoslavia,OWID_YGS,,Europe
Zambia,ZMB,14.97,Africa
Zanzibar,OWID_ZAN,38.16,
Zimbabwe,ZWE,30.68,Africa
